epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.05,1.87043,1.29505,1.13268,0.71224,0.41243,0.46013,0.2231,1.70502,1.13295,1.0945,0.067041,0.000332919,0.000332919
2,340.79,1.6988,1.02708,1.06975,0.76587,0.44984,0.52001,0.26371,1.60077,0.90237,1.06292,0.0340278,0.000653061,0.000653061
3,504.901,1.65377,0.97469,1.05437,0.75826,0.46768,0.53064,0.26342,1.63351,0.89045,1.07445,0.00100141,0.000960002,0.000960002
4,669.112,1.62635,0.94433,1.04608,0.77668,0.46226,0.53169,0.27069,1.58302,0.87147,1.05885,0.0009406,0.0009406,0.0009406
5,834.284,1.58649,0.90088,1.03369,0.77985,0.4968,0.56295,0.29469,1.50779,0.82853,1.03658,0.0009208,0.0009208,0.0009208
6,999.403,1.57314,0.88237,1.0302,0.78581,0.49804,0.56144,0.28781,1.51967,0.8079,1.03717,0.000901,0.000901,0.000901
7,1162.91,1.55262,0.85878,1.02652,0.802,0.50407,0.58158,0.30714,1.47412,0.76612,1.02378,0.0008812,0.0008812,0.0008812
8,1327.52,1.5492,0.85357,1.02213,0.79702,0.51637,0.59095,0.30689,1.47964,0.7662,1.01887,0.0008614,0.0008614,0.0008614
9,1492.56,1.53289,0.83752,1.01794,0.80689,0.50673,0.5863,0.31254,1.478,0.75876,1.02722,0.0008416,0.0008416,0.0008416
10,1657.78,1.52254,0.82877,1.0165,0.8126,0.5197,0.59843,0.31742,1.451,0.74753,1.0159,0.0008218,0.0008218,0.0008218
11,1822.97,1.50666,0.81609,1.011,0.80952,0.5198,0.59292,0.31586,1.45012,0.72601,1.01493,0.000802,0.000802,0.000802
12,1989.03,1.50672,0.80751,1.01164,0.80319,0.53013,0.59977,0.31658,1.44908,0.72147,1.0151,0.0007822,0.0007822,0.0007822
13,2154.18,1.49374,0.79887,1.01007,0.81605,0.53696,0.60984,0.32564,1.43591,0.7188,1.01349,0.0007624,0.0007624,0.0007624
14,2320,1.49897,0.79083,1.00658,0.82168,0.53909,0.61479,0.32951,1.41815,0.70398,1.00654,0.0007426,0.0007426,0.0007426
15,2485.09,1.48707,0.78561,1.00451,0.8153,0.53393,0.60777,0.32542,1.42943,0.70501,1.00705,0.0007228,0.0007228,0.0007228
16,2650.57,1.47681,0.77822,0.99975,0.81926,0.54293,0.6169,0.3302,1.41735,0.70465,1.00223,0.000703,0.000703,0.000703
17,2816.25,1.48238,0.77761,1.00103,0.81863,0.53859,0.61357,0.32927,1.4216,0.69343,1.00522,0.0006832,0.0006832,0.0006832
18,2981.11,1.46905,0.76526,0.9994,0.82663,0.5422,0.62623,0.33989,1.40791,0.68714,1.00124,0.0006634,0.0006634,0.0006634
19,3144.91,1.46198,0.76469,0.99933,0.82684,0.5489,0.62715,0.33921,1.40453,0.67994,1.00282,0.0006436,0.0006436,0.0006436
20,3309.03,1.45971,0.76435,0.99916,0.82354,0.55211,0.62714,0.33276,1.4164,0.68518,1.00497,0.0006238,0.0006238,0.0006238
21,3473.31,1.45903,0.75242,0.99514,0.82375,0.55065,0.62861,0.33799,1.40487,0.67232,1.00144,0.000604,0.000604,0.000604
22,3637.5,1.44741,0.75038,0.99571,0.82254,0.55378,0.62971,0.33998,1.39998,0.66919,0.99758,0.0005842,0.0005842,0.0005842
23,3802.27,1.44188,0.73976,0.99115,0.83028,0.55569,0.63233,0.34113,1.39595,0.66113,0.99761,0.0005644,0.0005644,0.0005644
24,3966.94,1.4393,0.73897,0.99281,0.83318,0.556,0.63333,0.34225,1.39298,0.65911,0.99629,0.0005446,0.0005446,0.0005446
25,4130.74,1.44004,0.74077,0.99102,0.82774,0.55517,0.6343,0.34274,1.38869,0.66122,0.99378,0.0005248,0.0005248,0.0005248
26,4294.74,1.43406,0.73358,0.9878,0.82912,0.55582,0.6367,0.34569,1.38544,0.65544,0.99388,0.000505,0.000505,0.000505
27,4459.53,1.43179,0.72814,0.98769,0.83396,0.56193,0.6397,0.34583,1.38749,0.65001,0.99382,0.0004852,0.0004852,0.0004852
28,4624.42,1.43785,0.72922,0.98794,0.83284,0.56046,0.63963,0.34662,1.38366,0.64734,0.99449,0.0004654,0.0004654,0.0004654
